latitude,longitude,ownership,postNumber,propertyType,totalPrice,usableArea
58.5562548541601,7.75737762451172,Eier (Selveier),4737,,3505120,153
59.8557,10.4687,Eier (Selveier),1395,,9462304,172
61.2645078565471,10.4014017720962,Eier (Selveier),2636,,3110438,50
59.21,10.9302,Andel,1671,,5615028,69
58.1511420768119,8.01172614097595,Eier (Selveier),4631,,14575000,248
58.157,8.0183,Eier (Selveier),4631,,9624708,175
59.6761,10.622,Eier (Selveier),1443,,16470518,114
58.2995677599259,6.65689758059585,Eier (Selveier),4400,,5957050,197
59.2102,10.9302,Andel,1671,,5312308,66
58.2961963935969,6.66270094923862,Eier (Selveier),4400,,5083333,93
59.35,10.9394,Eier (Selveier),1640,,2528087,40
58.0767,7.8568,Eier (Selveier),4643,,5980170,172
58.1282,8.0705,Eier (Selveier),4639,,6172420,168
58.1477111056058,8.02501679761444,Eier (Selveier),4632,,13575752,214
60.2480752753137,11.0290718078613,Eier (Selveier),2032,,4037592,82
58.4366,8.6989,Eier (Selveier),4824,,2957570,85
58.077,7.7617,Eier (Selveier),4641,,4144670,100
58.0771,7.7618,Eier (Selveier),4641,,4761170,130
58.1476,8.0065,Eier (Selveier),4608,,6628587,87
58.1553,8.0993,Eier (Selveier),4638,,6691170,140
59.7093889263269,10.1539982522666,Eier (Selveier),3032,Leilighet,6836420,89
58.0766,7.7614,Eier (Selveier),4641,,4534920,162
58.1618717571415,7.99648154820268,Andel,4630,,6333173,91
59.7477113307,10.8347024735,Eier (Selveier),1405,,5300137,74
59.7093889263269,10.1539982522666,Eier (Selveier),3032,Leilighet,8036420,89
59.7737,10.8104,Eier (Selveier),1415,,12976370,240
60.1107805952669,11.4609154572244,Eier (Selveier),2150,,5716625,130
59.9152005544593,10.9692945421058,Andel,1475,,4328279,56
58.0743531331255,7.82841829068218,Eier (Selveier),4640,,5048372,130
60.1591,10.2469,Eier (Selveier),3511,,4364531,64
58.1166,7.0603,Eier (Selveier),4580,,6541342,134
59.9311450044606,10.9554884914396,Eier (Selveier),1470,Enebolig,12081842,175
58.1694975787338,7.55429390224155,Eier (Selveier),4532,,2485000,82
58.2732,7.9699,Eier (Selveier),4700,,6521902,148
58.1866349051317,8.04479452180497,Eier (Selveier),4637,,5175550,106
58.2391244380399,8.37046623229981,Eier (Selveier),4790,,6356837,154
58.1711777761801,8.2394977602685,Eier (Selveier),4770,,4518092,103
58.5754,9.016,Eier (Selveier),4916,,8686682,170
58.3048443173932,8.54083938759143,Eier (Selveier),4887,,5460000,161
58.7066,9.1913,Eier (Selveier),4956,,2756045,73
58.1925026076945,8.08200060649975,Eier (Selveier),4656,,7129009,178
58.0266925741919,7.48683681107655,Eier (Selveier),4515,,2815000,69
58.3507468162825,8.55561893085916,Eier (Selveier),4885,,5181545,200
58.5834053156168,7.81314134645563,Eier (Selveier),4735,,2688009,81
58.1991918429988,8.25357554955229,Eier (Selveier),4770,,4971585,131
58.4567142877924,8.82751490221562,Eier (Selveier),4818,,3890419,182
60.1492382514244,10.2643206273133,Eier (Selveier),3511,,6192092,136
60.1385,11.1607,Andel,2063,,4047385,56
59.78,9.9218,Eier (Selveier),3303,,5615420,144
60.0374,9.6271,Eier (Selveier),3350,,3295150,111
58.1547,8.101,Eier (Selveier),4638,Enebolig,12601170,409
58.4413969981853,8.70899240830218,Eier (Selveier),4824,,4596795,136
59.78,9.9218,Eier (Selveier),3303,,4157120,82
59.2169,10.906,Eier (Selveier),1621,,6630706,86
58.0767,7.8543,Eier (Selveier),4643,Enebolig,9868670,194
58.1281,8.0705,Eier (Selveier),4639,Enebolig,6222420,162
58.046342911353,7.1445499347937,Eier (Selveier),4521,,2655000,65
58.0798,7.8634,Eier (Selveier),4643,Enebolig,11566170,291
58.0362,7.4983,Eier (Selveier),4515,,5119342,133
58.3785,8.6777,Eier (Selveier),4870,,6572592,127
59.7423809,10.1625337,Andel,3048,,6257119,74
59.7672,10.0785,Andel,3057,Leilighet,6501982,95
58.0736893151863,7.82870804734136,Eier (Selveier),4640,,2928372,65
58.2358262062925,6.53408699352327,Eier (Selveier),4432,,5902000,206
58.2361933191708,6.53803403512962,Eier (Selveier),4432,,4927825,169
58.2626098203688,7.95221328735352,Eier (Selveier),4706,,5673525,160
58.2699,7.9724,Eier (Selveier),4700,,4441823,98
58.468777061861,8.80506747057237,Eier (Selveier),4841,,5908731,87
58.1697122699726,7.98658731229516,Eier (Selveier),4630,,8788372,169
58.2621131752574,7.95397267371707,Eier (Selveier),4706,,5301725,193
59.3760205666186,10.7551310208412,Eier (Selveier),1580,,4651962,75
59.7201,10.8002,Eier (Selveier),1406,,5825973,80
59.9230492892987,10.947463665447,Eier (Selveier),1473,Leilighet,3872370,45
59.9229740124792,10.9474980657204,Eier (Selveier),1473,Leilighet,7692720,97
59.4472,10.6943,Eier (Selveier),1535,Leilighet,3550000,62
60.232086081679,9.87338807191936,Eier (Selveier),3534,,2797670,61
59.4377286037061,10.6700851450775,Eier (Selveier),1530,,8764156,139
59.7906927766,10.8028560905,Eier (Selveier),1415,,5617938,76
60.1547435350854,11.1937022046489,Eier (Selveier),2069,Leilighet,6268692,116
60.2474789663816,11.0306166968094,Eier (Selveier),2032,,2463405,36
59.2483743196784,11.1960124969482,Eier (Selveier),1743,,5167755,128
59.9178171607741,10.9530258178711,Andel,1475,,5132622,57
59.9255,9.965,Eier (Selveier),3360,,4071407,141
60.1360230868,11.1810126043,Eier (Selveier),2053,,6161329,82
59.2723,11.164,Andel,1738,,3678163,74
59.2481987723044,11.1981687959522,Eier (Selveier),1743,,4392755,88
60.5686,9.1242,Andel,3540,,4499021,91
59.2778,11.1059,Andel,1724,,10563354,128
59.2926,11.1515,Andel,1734,,6395896,96
59.924942105,11.0686679114,Eier (Selveier),2008,,4981080,74
59.9245870446137,11.068956553309,Eier (Selveier),2008,Leilighet,5501852,92
60.1488110327735,10.2658865536134,Eier (Selveier),3511,,6540212,134
60.2738765286826,10.1856994628906,Andel,3525,,3550132,72
59.9092558898073,10.5797954058232,Eier (Selveier),1363,Leilighet,10018690,78
59.782669153241,10.4635577934709,Eier (Selveier),1389,Rekkehus,7998000,118
59.2203,10.9423,Eier (Selveier),1605,,9480436,112
59.8686768,10.4839337,Eier (Selveier),1396,,6688289,78
60.2298776406802,11.0240074800186,Eier (Selveier),2030,,3592315,79
59.7906738825,10.8018529443,Eier (Selveier),1415,,3853387,51
59.9285833056742,10.9393139707776,Eier (Selveier),1461,Leilighet,6542068,85
59.4334000422932,10.6966051871709,Eier (Selveier),1596,,5935059,97
59.779600062641,10.7406678375958,Andel,1420,Enebolig,11321370,196
59.4343396184658,10.7028769077569,Eier (Selveier),1596,,7040342,169
60.1731109478091,11.5497207641602,Eier (Selveier),2166,,3428020,73
58.4095001115318,8.6389004757914,Eier (Selveier),4821,,3091000,70
58.5078665740802,8.61317577093812,Eier (Selveier),4820,,2961795,82
59.8322,10.6376,Eier (Selveier),1453,,15884420,203
58.0720807820657,7.76082610863014,Eier (Selveier),4641,,5288246,136
58.4818180286053,8.76914759564554,Eier (Selveier),4846,,4367420,162
58.2493941924314,8.37575772857689,Eier (Selveier),4790,,5440170,172
58.152285660391,7.93157435347386,Eier (Selveier),4628,,6387872,141
58.1879899967513,8.09829502547115,Eier (Selveier),4656,,6298636,176
58.485400665504,8.86369169194584,Eier (Selveier),4812,,5116786,156
59.8339045943683,10.6402597883139,Eier (Selveier),1453,,9661827,87
58.0405908671514,7.50190457986284,Eier (Selveier),4515,,5849154,191
